bio;computeEnabled;control;id;isActive;corr;corr20d;corr20dRank;fnc;fncRank;mmc;mmcRank;prevCorr20dRank;prevFncRank;prevMmcRank;prevRank;rank;oneDay;oneYear;threeMonths;linkText;linkUrl;bronze;gold;silver;corrMultiplier;mmcMultiplier;takeProfit;startDate;team;username
;False;0.0;e7cb0f3f-8bd6-4b62-ba89-5bb8a1ce7578;False;12;0;0;65;;100;0;0;;;;;;;;;;;;;;;False;01/15/2021 11:15:11;False;aithia4
;False;2.8968142212078545e-4;f45189fa-bb69-484c-9b6d-493b8f625b7c;True;13;0;0;37;;134;0;0;;;;;-3.7610865568570295;337.450777211002;21.2937149764592;;;;;;1.0;2.0;False;03/11/2020 06:44:30;False;lazer_004
;False;4.225689241870654e-6;11433d48-b7e4-43f7-96e1-a370c31cafda;True;14;0;0;135;;42;0;0;;;;;-6.78917274210847;;38.8431542314082;;;;;;1.0;2.0;False;09/06/2020 19:43:03;False;nopaixxbase
"Japanese Ph.D student
Twitter: @dera2774";False;7.34746424746741e-4;25c1e414-dedc-42aa-a0ad-283d36905b52;True;15;0;0;49;;50;0;0;;;;;-8.355453857534837;;28.9309278084171;twitter;https://twitter.com/dera2774;;;;1.0;2.0;False;07/25/2020 06:26:52;False;dera414
;False;0.0;54995764-cd6c-454d-bec3-84207c2aeb6e;False;16;0;0;16;;37;0;0;;;;;;;;;;;;;;;False;01/15/2021 12:08:32;False;aithia6
;False;7.658700064871065e-5;6133b061-4fbe-4523-aba1-bcdf62aceb24;True;17;0;0;150;;147;0;0;;;;;-0.3541976302168459;141.745245027947;24.8063773994403;;;;;;1.0;0.0;False;08/13/2020 22:51:56;False;dies
;False;5.290981949035413e-4;f9ec50e7-57e0-4755-9bf3-b3f8f4ba0f1e;True;18;0;0;52;;173;0;0;;;;;-4.263994243589472;409.817009647465;24.5252221818527;;;;;;1.0;2.0;False;03/11/2020 03:58:16;False;lazer_003
;False;7.403275324400788e-5;93293e38-25c7-4b01-98ef-961456c821ea;True;19;0;0;21;;165;0;0;;;;;-4.73856546788855;;27.0138367779692;;;;;;1.0;2.0;False;10/02/2020 13:14:17;False;lazer_102
;False;3.139416377623164e-8;c688e9f7-faa5-4490-afb6-48a7090758af;True;20;0;0;650;;395;0;0;;;;;-1.2787860306797423;;20.8826246479575;;;;;;;;False;02/05/2021 10:43:52;False;celia14
;False;2.1330193764933166e-4;5f93efb2-6314-4f2f-b353-4fa1fbfa41a1;True;21;0;0;47;;155;0;0;;;;;-3.645083234749295;199.643457446167;19.6201818548163;;;;;;1.0;2.0;False;03/11/2020 02:07:20;False;lazer_002
"🇷🇴 ";False;4.247188207282394e-5;4b19d816-873f-4103-89e5-2de002dd89e8;True;22;0;0;571;;129;0;0;;;;;-4.91925186477225;;27.8499035333274;Twitter;https://twitter.com/hydration_ds;;;;1.0;1.0;False;11/16/2020 03:23:58;False;hydration8
Ensemble: IceShark, BeachCapital, Player1, Ragamuffin, QuantQuest, OtakuOssan, AiJin, PureAlpha, MMC;False;1.1214926795636711e-4;05578ba5-6b24-4320-b474-c62cacc29c5c;True;23;0;0;50;;118;0;0;;;;;-4.489383800884835;318.18791506918;27.7017354774401;Diagnostics;https://imgur.com/a/9vyH0Vm;;;;1.0;2.0;False;03/16/2020 00:06:44;False;joakim_arvidsson
;False;0.001105784237357288;e81b65bb-c46a-48d1-b6a1-19bfe4981ab2;True;24;0;0;42;;164;0;0;;;;;-4.6618360597174995;282.737824269465;19.8006551524907;;;;;;1.0;1.0;False;09/03/2018 02:43:12;False;lazer_001
"FullStack in python/reactjs and datascientist enthusiast ";True;5.051376099927748e-4;fd8bb3e7-b7e9-484c-994a-66fecfe33e00;True;25;0;0;386;;60;0;0;;;;;-6.838495755738367;247.915957137027;35.1835013310942;LinkedIn;https://www.linkedin.com/in/angel-lordan-3b854616b/;;;;1.0;2.0;False;12/22/2018 14:25:47;False;nopaixx
;False;0.0;87889cc4-d066-4fa8-a0ec-d81f75324f48;False;26;0;0;58;;198;0;0;;;;;;;;;;;;;1.0;2.0;False;03/29/2021 10:15:15;False;gba
;False;7.944178293176989e-4;96d14842-62a2-46b1-8f90-3a12ad6b88e1;True;27;0;0;74;;205;0;0;;;;;-1.3684976440260894;;20.1142268310406;;;;;;1.0;0.5;False;12/30/2020 20:56:38;False;ipad_pro
The Lottery in Babylon was a game of plebeian character..;False;7.016231899460274e-4;0be8352a-3c4e-4c8d-84f8-1c2838973ced;True;28;0;0;44;;55;0;0;;;;;-0.2965385024709248;402.981681240573;28.220431114985;;;;;;1.0;2.0;False;08/03/2020 01:00:08;False;lottery_of_babylon
;False;0.0015721975513725735;867d62eb-bad3-446d-9689-308984f6b441;True;29;0;0;51;;184;0;0;;;;;-4.8438324238684505;410.783051897183;23.8235057735731;;;;;;1.0;2.0;False;03/11/2020 10:45:52;False;lazer_006
;False;2.8564908796523184e-6;880aa879-264f-4aef-b723-d3f14dee53e5;True;30;0;0;116;;151;0;0;;;;;-2.6208587518501147;;28.4956077429989;;;;;;1.0;2.0;False;11/14/2020 17:04:11;False;yrousset6
For outside staking, contact me on community.numer.ai. My username is Barnacle. Cur model since R257;False;1.9137317894006674e-8;7fdf75db-c6b0-485e-9c85-60a4b7b9b9d9;True;31;0;0;136;;220;0;0;;;;;-7.07142971219053;;;;;;;;1.0;2.0;False;02/07/2021 18:22:06;False;mix1
;False;5.731909089032475e-8;b857bc03-642b-4c09-b98c-230ebe1d32a1;True;32;0;0;1766;;2;0;0;;;;;-1.9122377424084054;;53.8996935680633;;;;;;1.0;2.0;False;12/09/2020 20:27:04;False;ph_013
;False;2.1133545016547157e-4;b4c81752-6758-4d94-954f-48c241364465;True;33;0;0;24;;116;0;0;;;;;-3.14663284058859;;;;;;;;1.0;2.0;True;03/28/2021 01:29:54;False;big_turkey
;False;0.0;eecce326-4337-4240-bffc-91f0e566532b;False;34;0;0;107;;78;0;0;;;;;;;;;;;;;;;False;12/20/2020 13:20:58;False;dera_m8
;False;6.215939656981343e-5;6f1e3769-3072-42cd-9af1-3e086c427769;True;35;0;0;63;;298;0;0;;;;;-4.322171882636341;;19.6045845659816;;;;;;1.0;1.0;False;10/02/2020 13:14:47;False;lazer_103
;False;7.411244894799606e-5;ecb1df68-a223-4809-bced-923609cfdfca;True;36;0;0;36;;241;0;0;;;;;-4.735604958706656;;23.057172070497;;;;;;1.0;2.0;False;10/02/2020 13:13:13;False;lazer_101
;False;1.6691050146095272e-4;ee1ce8c5-8cca-421f-8f6a-fc07d5e80b8a;True;37;0;0;41;;199;0;0;;;;;-5.132896380881078;252.339796771488;18.7181184817627;;;;;;1.0;1.0;False;03/11/2020 10:49:59;False;lazer_008
Tim Thabt Model;False;8.963119715732074e-6;f7a44f17-6aa5-4414-9249-47f53abf5d07;True;38;0;0;54;;300;0;0;;;;;-6.528867754029563;;17.0093718928405;Linkedin Profile;https://www.linkedin.com/in/haitham-thabt-2824a253/;;;;1.0;1.0;False;08/01/2020 18:51:32;False;cosine
Fortuna Imperatrix Mundi;False;1.8061631850226746e-6;c3d760b1-bca5-4ad0-aaad-4acc6a07f1bf;True;39;0;0;186;;265;0;0;;;;;-9.592215204830456;639.13872808378;22.7998448714549;;;;;;1.0;2.0;False;07/20/2017 22:47:56;False;victoria
;False;9.909860266154417e-4;27e8971e-9dac-4ae1-8b63-748469d8f88f;True;40;0;0;128;;125;0;0;;;;;-1.4427003060904873;357.384523967038;19.9080194741648;;;;;;1.0;0.0;False;08/13/2020 22:46:04;False;mistborn
;False;2.6576499216421085e-4;98115272-6b39-44e9-b13c-5a95edcc6a04;True;41;0;0;43;;196;0;0;;;;;-5.07188751462477;164.038520948292;13.4856034342248;;;;;;1.0;0.0;False;03/11/2020 10:48:31;False;lazer_007
Game Over.                                                                    Insert Coin.;False;1.1633848897397724e-4;b06d33f8-4265-4841-ac47-f3cafe54d04a;True;42;0;0;34;;208;0;0;;;;;-5.942398509411219;316.391481738442;21.7949342002079;Diagnostics;https://imgur.com/a/42A9Ofq;;;;1.0;2.0;False;06/14/2019 05:33:44;False;player1
For outside staking, msg me on community.numer.ai. Username=Barnacle. Cur model since R262, #1 R264.;False;1.9137317894006674e-8;8af58791-9b1e-4e71-ac84-5f1d53f65496;True;43;0;0;72;;210;0;0;;;;;-6.29721356829222;;;;;;;;1.0;2.0;False;02/07/2021 18:19:15;False;lgb_66
;False;0.0;e5c7e6e8-b1b8-412f-adaf-317768504c64;False;44;0;0;901;;140;0;0;;;;;;;;;;;;;;;False;09/22/2020 16:33:27;False;maximum_mc
;False;0.0;cac9f891-34df-48eb-9976-54f2c635b193;False;45;0;0;102;;35;0;0;;;;;;;;;;;;;;;False;03/31/2021 09:37:58;False;rootmdl02
;False;0.0;92ba2dcd-f6d0-40bf-bb24-68f18daef5cb;False;46;0;0;692;;102;0;0;;;;;;;;;;;;;;;False;03/15/2021 05:37:13;False;kp02
;False;1.317119387802969e-7;c4467bf9-d254-46c1-bdf1-64aca0b52e63;True;47;0;0;2763;;31;0;0;;;;;-5.678660353520795;;45.0544258520155;;;;;;1.0;2.0;False;08/31/2020 00:30:57;False;hiro_adaboost
;False;5.782764872735678e-6;87b18f26-dbc2-4518-86c3-9f96a9be837d;True;48;0;0;146;;225;0;0;;;;;-1.7942018632779633;;30.6738680577293;;;;;;1.0;2.0;False;01/25/2021 14:12:47;False;intensifai_010
;False;8.390807231413557e-5;9702aed9-ce4b-41a1-bf97-4f402e14c362;True;49;0;0;382;;32;0;0;;;;;-1.0943307296438374;201.03602074757;35.5185071406058;;;;;;1.0;2.0;True;07/19/2019 16:26:09;False;stupidrobot
;False;2.7653147131139434e-8;e4f6ee13-fb93-4391-9488-9870372b4a14;True;50;0;0;646;;339;0;0;;;;;1.5016743534751822;;31.4807971161456;;;;;;1.0;2.0;False;04/11/2021 05:20:26;False;hackerbot2_bis
;False;7.536132632870666e-8;2a63efe1-b62d-4db2-996e-850d2442e7ef;True;51;0;0;623;;435;0;0;;;;;-6.660176498686167;197.756671373274;12.2293547070341;;;;;;1.0;1.0;False;02/24/2020 21:50:42;False;uuazed10
;False;2.1489564146261932e-5;62ec35fc-e7e3-48db-9e3e-e9c88fffc3cc;True;52;0;0;274;;45;0;0;;;;;0.015380543010837112;;29.4762035868687;;;;;;1.0;2.0;False;09/07/2020 09:01:24;False;fedeai_test1
;False;5.905895190227084e-4;ea93e4ce-a19f-47fc-86ae-3cf2d29946b3;True;53;0;0;88;;231;0;0;;;;;-2.4639312513416836;;;;;;;;1.0;2.0;False;07/04/2016 11:15:59;False;walkingdead
;False;2.9874108391185142e-5;85a7216a-9cf2-4782-8e9d-9ad4a0c96a4b;True;54;0;0;31;;223;0;0;;;;;-5.290895836500785;;13.3648487575424;;;;;;1.0;0.5;False;01/04/2021 08:42:45;False;david_plutus_3
;False;2.3342639903416106e-4;b2820b47-69bc-4200-9da3-2f40509ab0e8;True;55;0;0;106;;180;0;0;;;;;-8.355453857534837;;22.0806580868635;;;;;;1.0;2.0;False;11/21/2020 15:37:40;False;biojap_00
;False;5.7855074811863806e-6;3c2252f5-a607-4d21-9127-6f4801bb26da;True;56;0;0;156;;193;0;0;;;;;-2.216185964921837;;30.5073694721583;;;;;;1.0;2.0;False;01/25/2021 14:12:27;False;intensifai_008
;False;3.953404573257845e-4;a30df27d-af80-479c-9616-8b7ed8502276;True;57;0;0;306;;114;0;0;;;;;-4.508983625237473;;16.3456626468538;;;;;;1.0;2.0;False;01/03/2021 20:16:32;False;all_bubble_3
;False;0.0;0c5d7317-7819-40eb-b6c2-057539e1eb07;False;58;0;0;714;;571;0;0;;;;;;;;;;;;;;;False;10/05/2020 13:36:11;False;uuazed11
"-- ""The greatest enemy of knowledge is not ignorance, it is the illusion of knowledge.""";False;0.0;28939ced-a1bf-46a0-b89f-194586e6d746;False;59;0;0;280;;82;0;0;;;;;;;;;;;;;;;False;03/20/2021 00:58:36;False;hawkingaling
;False;7.658454022860993e-5;51e05b47-9005-4237-b203-bb47f1b7ecb3;True;60;0;0;17;;245;0;0;;;;;-7.176577075129808;;18.8276811031092;;;;;;1.0;2.0;False;03/15/2021 04:35:06;False;m_test_tendies
;False;7.891851045531417e-6;bc84a382-d69d-4243-bad5-992164e4ce95;True;61;0;0;3708;;17;0;0;;;;;-6.4352236283987425;312.021041680648;26.2067581580593;;;;;;1.0;2.0;False;03/27/2017 11:35:26;False;dnet
;False;6.499733414792077e-5;021130c2-e610-4613-bada-587d4df762e7;True;62;0;0;144;;58;0;0;;;;;1.868713337796375;;47.659162601214;;;;;;1.0;2.0;False;01/04/2021 13:08:21;False;all_bubble_4
;False;0.0;aae96911-2adc-46b5-866f-999caa117787;False;63;0;0;314;;11;0;0;;;;;;;;;;;;;1.0;0.0;False;03/25/2018 11:56:47;False;innmrwetrust
;False;2.1944125424182729e-4;8388047e-9d7a-49bb-8fc5-3a85529eb904;True;64;0;0;61;;131;0;0;;;;;-1.4759748215925925;138.280033915532;23.312443692779;;;;;;1.0;0.0;False;08/13/2020 22:49:42;False;mediocrity
;False;4.5661361217453304e-4;02dcbc38-6df4-476f-b8a4-7f55174a7e8c;True;65;0;0;105;;307;0;0;;;;;-4.363487165841434;;14.5842575176797;;;;;;1.0;0.0;False;12/30/2020 20:56:52;False;daycare
This is not an exit.;False;4.228783609814478e-8;e44c7244-1a98-488e-9ba3-7208d71842cb;True;66;0;0;30;;138;0;0;;;;;-4.768923136760072;;20.0470628656456;;;;;;1.0;2.0;False;03/04/2021 17:49:24;False;jason_jameson
;False;0.0;4d2cde2c-84e6-4a1d-8a01-e3120bf6260e;False;67;0;0;683;;14;0;0;;;;;;;;;;;;;;;False;06/13/2020 10:58:08;False;dlkl7
Hong Kong based data scientist and algo trader;False;0.001756047182364425;33026e22-c940-4f81-9b30-a6b15c8f8398;True;68;0;0;452;;175;0;0;;;;;-7.275127341223374;;27.3471774235157;Twitter;http://twitter.com/mattiaslamotte;;;;1.0;2.0;True;09/20/2020 09:08:10;False;mattiasl_model2
All my models ensembled with ensemble optimizer.;False;0.0;0c5e9d8e-e3bf-473c-bb83-79414d5f63f9;False;69;0;0;104;;139;0;0;;;;;;;;;;;;;;;False;03/31/2021 09:37:14;False;ernestxxx_opt
;False;0.0020648574042076984;07416e4d-5ebe-4c43-82a0-b544a141c160;True;70;0;0;39;;197;0;0;;;;;-1.6432187285562756;;19.6863235692403;;;;;;1.0;2.0;True;03/06/2021 22:55:55;False;lucky_chicken2
;False;4.1847160688464365e-8;0b4e79a2-131d-4545-9b0b-71c9f09e6cbb;True;71;0;0;124;;319;0;0;;;;;-8.27400301740101;110.439633370308;19.0465202425131;;;;;;1.0;2.0;False;06/10/2020 20:54:23;False;model_3
;False;7.932519910552599e-4;83f9eee0-9b61-4ad7-a2a2-8fc661ba2bb9;True;72;0;0;129;;187;0;0;;;;;-0.8320410826766818;176.902074435075;19.4191619180718;;;;;;1.0;0.0;False;08/13/2020 22:48:08;False;pizzadragon
Fortuna Imperatrix Mundi;False;1.6776089271165227e-7;17d731ab-8060-466c-9b4b-971d0f5e15a6;True;73;0;0;171;;115;0;0;;;;;-8.63094461139508;549.950904688877;20.2508226436878;;;;;;1.0;2.0;False;04/19/2020 15:45:14;False;jp001
;False;0.002833139400527513;73c4bdb4-0a01-4269-bcce-1c0b1d12146d;True;74;0;0;48;;327;0;0;;;;;-4.775425708815495;260.293161967593;18.1451133718251;;;;;;1.0;1.0;False;04/05/2017 04:28:07;False;halsmith99
;False;6.592627695004193e-6;6c6246c3-f4ab-48fa-abdd-0c738b1173c8;True;75;0;0;1054;;81;0;0;;;;;-4.265090722283589;;11.736551617891;;;;;;1.0;2.0;False;03/10/2021 18:14:18;False;model_c
;False;7.166574947850929e-4;0dd65816-f07c-44ce-8b81-08916c5c9dc3;True;76;0;0;69;;69;0;0;;;;;-0.159059832262994;254.140678949443;23.315561728378;;;;;;1.0;0.0;False;08/13/2020 22:47:38;False;sauce_files
52% PyTorch TabNetRegressor.;False;7.042612670697734e-8;0ce23bf0-a5ce-4479-b884-60b0cd23f00e;True;77;0;0;126;;143;0;0;;;;;-1.3361153838961732;;18.7259690845276;;;;;;1.0;1.0;False;12/12/2020 23:24:26;False;ernest003_tab
open classrooms;False;5.052344835510569e-5;421105ad-889a-4425-a402-6479d82755c7;True;78;0;0;1256;;449;0;0;;;;;-4.9099872441706705;;14.3839781053298;linkedin;https://www.linkedin.com/in/julien-halgand/;;;;1.0;2.0;False;03/04/2021 10:52:17;False;hackerbot2
;False;3.700346859265822e-5;4e7b61de-22f0-44ef-a6dc-0e8a048feb57;True;79;0;0;3813;;12;0;0;;;;;-11.690590242764227;390.676089598355;35.074433601849;;;;;;1.0;2.0;False;07/06/2020 02:22:31;False;alfaprism_3
;False;1.5468836084161288e-4;998c25b4-0b08-423d-a4d7-4a13c5435150;True;80;0;0;744;;40;0;0;;;;;-5.738997728418409;;44.5041606525851;;;;;;1.0;2.0;False;03/22/2021 14:09:45;False;dupli_test_2
;False;8.803853824115748e-5;f4d90bcb-83f2-4251-b3d8-518f2addcd76;True;81;0;0;68;;351;0;0;;;;;-6.624814136707907;;20.1544738701237;;;;;;1.0;2.0;False;12/30/2020 05:23:02;False;qb3
;False;7.424859441860075e-6;4766a6a9-6983-449c-9d7d-ab197f2abb3b;True;82;0;0;185;;304;0;0;;;;;-5.275493942521799;;24.5104972812139;;;;;;1.0;2.0;False;02/05/2021 10:42:08;False;celia3
Waddleton;False;3.920766678711483e-4;0faaabd4-5066-456c-8b66-c7a080642180;True;83;0;0;161;;135;0;0;;;;;0.02249910321457204;329.480480715961;23.0745414304703;;;;;;1.0;2.0;False;08/14/2020 23:16:54;False;wallingford_nut
;False;4.125889730755056e-8;3f6b026f-b49a-4433-881e-4f92f1f3233d;True;84;0;0;411;;13;0;0;;;;;-4.099736994199697;;37.818228914777;;;;;;1.0;2.0;False;12/17/2020 11:15:04;False;iridium
;False;5.785088705662697e-6;ff2224d4-754e-4981-9b6e-94db5604c94b;True;85;0;0;291;;602;0;0;;;;;-2.1166237636345957;;25.5999859915973;;;;;;1.0;2.0;False;01/25/2021 14:15:32;False;intensifai_015
;False;5.0803158120853184e-5;90b0d0b8-30a2-4b29-a877-2bf8b234a2c3;True;86;0;0;436;;232;0;0;;;;;-1.3019304499199453;175.959542561862;27.0717975644043;;;;;;1.0;1.0;True;05/03/2020 11:46:24;False;tomclarke1916
;False;0.005790935842203574;c9c490b9-0ff7-47e0-b62e-5c08e841638a;True;87;0;0;55;;259;0;0;;;;;-4.7214955826974245;311.45081697992;18.5443705893999;;;;;;1.0;2.0;False;11/03/2018 01:35:07;False;prophet669
-- “The first principle is that you must not fool yourself, and you are the easiest person to fool.”;False;6.663307388304699e-6;d983be53-41a1-4720-93a5-261b18587482;True;88;0;0;108;;308;0;0;;;;;-4.059382432289586;;;;;;;;1.0;2.0;False;03/03/2021 04:33:30;False;feynmanimo
;False;6.066508803699339e-4;47b73333-52c3-4938-81cd-3ff2a840b5a4;True;89;0;0;449;;386;0;0;;;;;-6.0947529195730565;;13.471974055754;;;;;;;;False;04/21/2020 07:28:36;False;datacon
;False;1.9169211553849592e-5;a5c8d7e2-34b7-46a5-b919-d78172a7675b;True;90;0;0;521;;459;0;0;;;;;-7.002937235070171;;28.6772738128811;;;;;;1.0;2.0;False;09/08/2020 04:59:26;False;botarai3
;False;1.1641925910496638e-4;cd7fa66e-ca45-4c96-b041-c83049f42d05;True;91;0;0;26;;48;0;0;;;;;1.1276148655178084;;27.25128207915;;;;;;1.0;0.5;False;10/08/2020 13:14:37;False;gaussnewton_torch3
;False;4.530626257797491e-5;157f100b-d47d-4bcf-b550-76cc1341cfd9;True;92;0;0;585;;369;0;0;;;;;-5.671970625303445;;19.2383633190353;;;;;;1.0;2.0;False;04/01/2021 19:40:30;False;stephanos
;False;4.751491179830993e-8;c91957a5-b562-42d8-8cee-6e16ebf178fb;True;93;0;0;27;;239;0;0;;;;;-5.086371173789577;;16.3912917932613;;;;;;;;False;12/21/2020 10:45:32;False;yrousset12
;False;0.0;ddb82f22-3b8d-4fbc-b847-302e6901dbbf;False;94;0;0;91;;98;0;0;;;;;;;;;;;;;1.0;0.0;False;06/15/2020 10:43:40;False;supernovalx
;False;0.0;28387cb6-2d39-4eaf-ac81-544bfbd02ff5;False;95;0;0;46;;46;0;0;;;;;;;;;;;;;;;False;01/24/2021 13:56:24;False;aithia8
@RNopster;False;4.976407001393108e-5;3138502f-8be3-40ef-a453-093e1919ebcc;True;96;0;0;241;;152;0;0;;;;;-3.4342249053923117;;-2.03681776112071;;;;;;1.0;2.0;False;03/28/2021 20:36:20;False;whiskers
;False;0.0;6aeddead-3f63-4492-a623-8207c221cee5;False;97;0;0;1475;;8;0;0;;;;;;;;;;;;;;;False;02/14/2021 11:42:29;False;discover04
;False;9.279221976790682e-4;3e4b3bab-fa35-4fef-bf4d-f4c3ab8cb646;True;98;0;0;2433;;236;0;0;;;;;-2.407734985738223;;28.658465388796;;;;;;1.0;2.0;False;12/02/2020 20:49:25;False;degerhan
From: 223 Test set: mean CORR: 0.03087 median: 0.031412 min: +0.0040 SR: 2.1246;False;8.451283752086994e-5;bbc9bdc1-b258-4b55-b527-ff51f7513080;True;99;0;0;96;;316;0;0;;;;;-6.120508201971856;43.317045492818;20.6684508248354;Diagnostics;https://imgur.com/a/dwDwszP;;;;1.0;2.0;False;05/08/2020 01:33:31;False;quantquest
;False;6.993713784403571e-5;15acace4-fc7b-4438-9909-73622a122123;True;100;0;0;1515;;4;0;0;;;;;-2.407734985738223;;34.5753311532814;;;;;;1.0;2.0;False;03/27/2021 21:10:03;False;baran_m4
;False;6.0781452454056676e-5;a06ba518-c3d4-4b74-8569-13f6ee9c7be8;True;101;0;0;1514;;5;0;0;;;;;-2.407734985738223;;29.1378023543859;;;;;;1.0;2.0;False;03/15/2021 19:33:57;False;btu3
;False;0.001105886103687548;ff515c71-7da9-4793-8c57-6ee1e6a75217;True;102;0;0;1518;;7;0;0;;;;;-2.407734985738223;;44.0195608933562;;;;;;1.0;2.0;False;02/13/2021 20:04:01;False;uss_voyager
;False;5.78305919961415e-6;657320b3-9fbf-49d2-b86f-2717138217d2;True;103;0;0;330;;320;0;0;;;;;-3.1123031284358107;;30.9883932632038;;;;;;1.0;2.0;False;01/25/2021 14:12:34;False;intensifai_009
;False;4.215516879210836e-8;95c90996-b884-46ed-bbc4-68ecde07d072;True;104;0;0;2646;;19;0;0;;;;;1.8775590403018723;;34.7711515171183;;;;;;1.0;1.0;False;10/02/2020 07:14:14;False;longmarch
"🇷🇴 ";False;7.350651125735382e-8;9c187ec2-c188-424c-a5a3-8ee559ae83f2;True;105;0;0;414;;101;0;0;;;;;1.8079914778456327;;38.7082945724193;Twitter;https://twitter.com/hydration_ds;;;;1.0;2.0;False;11/16/2020 03:24:25;False;hydration11
;False;5.597549634510048e-4;e9f6d715-280a-4939-95f0-c572cbe098f4;True;106;0;0;1522;;6;0;0;;;;;-2.407734985738223;;44.0195608933562;;;;;;1.0;2.0;False;01/23/2021 18:16:19;False;degerhan_sb8
;False;3.587877673652865e-4;d347705c-a4c6-4958-936d-1bae5133dbfd;True;107;0;0;59;;106;0;0;;;;;-3.4322979503085596;236.296173436455;18.6582192582323;;;;;;1.0;1.0;False;08/20/2016 21:57:32;False;davebaty
;False;3.818033722434782e-5;64941987-43eb-44c6-9f9c-daf307a70584;True;108;0;0;76;;371;0;0;;;;;-5.193975244468888;;14.9803682613885;;;;;;1.0;1.0;False;01/04/2021 07:48:45;False;david_plutus_2
https://numer.ai/koerrie;False;1.8725490837633068e-4;fa320e3a-9bc7-4436-9697-a076eb95d917;True;109;0;0;419;;423;0;0;;;;;-3.508049598254204;;18.0136079631426;;;;;;1.0;0.0;False;08/02/2020 20:01:45;False;koerrie2
;False;0.0;18852804-269c-4716-b2b1-e45ee0f49ced;False;110;0;0;523;;408;0;0;;;;;;;;;;;;;;;False;01/19/2021 01:16:23;False;rgg81_4
;False;0.0;2d80f930-6f3f-43f4-a123-040a6e9443a3;False;111;0;0;148;;396;0;0;;;;;;;;;;;;;;;False;07/06/2020 17:37:36;False;sinookas
;False;5.78085249218798e-6;6880f751-fc43-41d7-9374-b75d61536e51;True;112;0;0;260;;498;0;0;;;;;-3.4169661623026535;;24.3333173880689;;;;;;1.0;2.0;False;01/25/2021 14:13:16;False;intensifai_013
;False;2.8230117857882923e-6;9760b13f-fd7a-4d01-a505-73833754f394;True;113;0;0;175;;364;0;0;;;;;-5.316950987219457;;;;;;;;1.0;2.0;False;04/01/2021 19:46:55;False;model_number_02
